Blob,GPU main P50 ms,GPU main P99 ms,GPU upload P50 ms,GPU upload P99 ms,Vulkan allocated MiB
Container,0.004096,0.01536,9.6e-05,9.6e-05,6.0
Button,0.004096,0.01536,9.6e-05,9.6e-05,6.0
Text,0.023552,0.06144,9.6e-05,9.6e-05,6.0
TextEntry,0.4096,0.436224,9.6e-05,0.00016,8.0
TextEditor,0.410624,0.464896,9.6e-05,0.00016,8.0
Image,0.004096,0.01536,9.6e-05,9.6e-05,22.0
Shape,0.144384,0.149504,9.6e-05,0.000224,6.0
