Blob,Cold CPU low ms,Cold CPU worst ms,Cold alloc low B,Cold alloc worst B,Warm CPU P50 ms,Warm CPU P95 ms,Warm CPU P99 ms,Warm alloc P50 B/frame,Warm alloc P95 B/frame,Managed MiB,RSS MiB,PSS MiB
Container,5.009524,13.615769,664,159216,0.803545,1.311322,2.228492,664.0,664.0,6.500587463378906,158.08203125,98.876953125
Button,5.476355,14.042182,1120,159672,0.679722,1.328284,2.069622,1120.0,1120.0,6.645774841308594,160.95703125,101.740234375
Text,9.003584,25.928189,74912,855584,1.304038,2.135075,2.851335,776.0,776.0,10.323112487792969,174.0390625,114.8759765625
TextEntry,27.484994,30.395822,75432,654800,3.36825,4.509542,5.307957,824.0,824.0,11.808143615722656,178.08203125,118.888671875
TextEditor,26.112927,35.23156,76088,655544,3.852303,5.026697,5.753747,968.0,968.0,14.037460327148438,182.48828125,123.25390625
Image,6.871033,22.250518,156528,990720,1.232714,1.873512,2.425773,640.0,640.0,7.910301208496094,175.68359375,116.5078125
Shape,5.105485,22.018862,4344,765384,0.980799,1.588815,2.204716,1776.0,1776.0,6.716255187988281,160.7421875,101.4716796875
