kind,mode,run_count,cpu_p50_ms_median,cpu_p50_ms_min,cpu_p50_ms_max,cpu_p99_ms_median,cpu_p99_ms_min,cpu_p99_ms_max,measured_loop_wall_s_median,measured_loop_wall_s_min,measured_loop_wall_s_max,process_cpu_s_median,process_cpu_s_min,process_cpu_s_max,alloc_B_frame_median,alloc_B_frame_min,alloc_B_frame_max,rss_peak_MiB_median,rss_peak_MiB_min,rss_peak_MiB_max,private_peak_MiB_median,private_peak_MiB_min,private_peak_MiB_max,managed_heap_peak_MiB_median,managed_heap_peak_MiB_min,managed_heap_peak_MiB_max,managed_retained_peak_MiB_median,managed_retained_peak_MiB_min,managed_retained_peak_MiB_max,managed_retained_post_gc_MiB_median,managed_retained_post_gc_MiB_min,managed_retained_post_gc_MiB_max,gpu_main_p50_ms_median,gpu_main_p50_ms_min,gpu_main_p50_ms_max,gpu_main_p99_ms_median,gpu_main_p99_ms_min,gpu_main_p99_ms_max,vk_allocated_peak_MiB_median,vk_allocated_peak_MiB_min,vk_allocated_peak_MiB_max,cache_peak_MiB_median,cache_peak_MiB_min,cache_peak_MiB_max,image_resident_peak_MiB_median,image_resident_peak_MiB_min,image_resident_peak_MiB_max,text_resident_peak_MiB_median,text_resident_peak_MiB_min,text_resident_peak_MiB_max,readback_pool_resident_before_close_MiB_median,readback_pool_resident_before_close_MiB_min,readback_pool_resident_before_close_MiB_max
shape,sparse,3,0.936376,0.930685,0.989596,1.683585,1.546476,1.768484,2.057014753,2.053848471,2.127284712,2.573568,2.491294,2.683902,1776.0,1776.0,1776.0,162.4375,162.37109375,162.66796875,153.07421875,153.00390625,153.12109375,12.786376953125,12.786300659179688,12.786582946777344,6.716156005859375,6.716156005859375,6.716156005859375,6.716156005859375,6.716156005859375,6.716156005859375,0.144384,0.14336,0.147456,0.149504,0.147456,0.150528,6.0,6.0,6.0,0.25034332275390625,0.25034332275390625,0.25034332275390625,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0
shape,full,3,3.531108,3.509507,3.825293,4.893025,4.814117,6.432298,7.424161544,7.355107139,8.0407691,7.81006,7.668409,8.173628,1616160.0,1616160.0,1616160.0,170.68359375,167.19140625,170.7734375,161.01953125,157.94921875,161.10546875,15.606033325195312,15.606033325195312,15.607467651367188,6.754707336425781,6.754707336425781,6.754707336425781,6.754707336425781,6.754707336425781,6.754707336425781,0.175104,0.149504,0.29696,0.205824,0.177152,0.497664,6.0,6.0,6.0,0.25034332275390625,0.25034332275390625,0.25034332275390625,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0
button,unchanged,3,0.803355,0.707614,0.851345,1.689906,1.305952,1.727597,1.746187082,1.533864705,1.761320708,2.250758,2.07783,2.33403,0.0,0.0,0.0,158.61328125,158.60546875,158.671875,151.61328125,151.60546875,151.6171875,9.340362548828125,9.340263366699219,9.348175048828125,6.6461181640625,6.6461181640625,6.6461181640625,6.6454620361328125,6.6454620361328125,6.6454620361328125,0.017408,0.016384,0.017408,0.02048,0.018432,0.021504,6.0,6.0,6.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0
button,sparse,3,0.750445,0.643624,0.780552,1.777191,1.444404,2.345141,1.636926505,1.559019512,1.816950218,2.139918,2.078417,2.301603,1120.0,1120.0,1120.0,161.24609375,161.0625,161.359375,152.57421875,152.51171875,152.578125,11.4822998046875,11.482032775878906,11.48919677734375,6.6456756591796875,6.6456756591796875,6.6515350341796875,6.6456756591796875,6.6456756591796875,6.6515350341796875,0.004096,0.004096,0.004096,0.014336,0.014336,0.01536,6.0,6.0,6.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0
button,full,3,3.47392,3.331752,3.793382,4.684844,4.638135,14.053659,7.259253059,7.032521944,8.545098392,7.5793,7.312949,8.433297,960160.0,960160.0,960160.0,170.44921875,170.28125,170.734375,163.66015625,163.65625,163.66015625,16.003273010253906,16.000595092773438,16.011558532714844,6.684234619140625,6.684234619140625,6.684234619140625,6.684234619140625,6.684234619140625,6.684234619140625,0.026624,0.024576,0.027648,0.033792,0.033792,0.044032,6.0,6.0,6.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0
text-entry,unchanged,3,3.27238,3.031035,3.274955,4.407681,4.398423,4.442847,6.676552394,6.375258387,6.696258979,7.075062,6.772666,7.087563,0.0,0.0,0.0,175.7578125,175.7421875,175.8671875,163.41015625,163.34375,163.44140625,14.528419494628906,14.528419494628906,14.535850524902344,11.857841491699219,11.857841491699219,11.857841491699219,11.807830810546875,11.807830810546875,11.807830810546875,0.408576,0.406528,0.416768,0.420864,0.41472,0.543744,8.0,8.0,8.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0
text-entry,sparse,3,3.297107,3.129992,3.566926,4.382684,4.208485,6.083471,6.739008432,6.474767674,7.595229023,7.145176,6.866682,7.911,824.0,824.0,824.0,178.27734375,178.2265625,178.3359375,164.00390625,163.9921875,164.10546875,16.1070556640625,16.107025146484375,16.11450958251953,11.860984802246094,11.860984802246094,11.860984802246094,11.80804443359375,11.80804443359375,11.81390380859375,0.406528,0.406528,0.408576,0.422912,0.417792,0.425984,8.0,8.0,8.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0
text-entry,full,3,5.645384,5.633783,6.519112,7.371619,7.035094,24.164241,11.607178753,11.569075543,14.714599599,12.031649,11.999646,14.153094,664160.0,664160.0,664160.0,204.65625,204.6484375,204.84375,190.890625,190.828125,190.96484375,21.12352752685547,20.80980682373047,21.16535186767578,11.846603393554688,11.846603393554688,11.846603393554688,11.846603393554688,11.846603393554688,11.846603393554688,0.715776,0.477184,0.85504,1.046528,0.561152,2.019328,8.0,8.0,8.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0
text-editor,unchanged,3,3.455415,3.315983,3.728981,4.653234,4.389015,6.095974,7.082175938,6.892178296,7.816449748,7.448462,7.200886,8.249967,0.0,0.0,0.0,180.8515625,180.72265625,180.875,166.65625,166.65234375,166.68359375,16.745040893554688,16.744094848632812,16.74517822265625,14.067062377929688,14.067062377929688,14.067062377929688,14.037124633789062,14.037124633789062,14.037124633789062,0.407552,0.405504,0.408576,0.427008,0.420864,0.474112,8.0,8.0,8.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0
text-editor,sparse,3,3.572015,3.523925,3.63281,4.907884,4.829276,5.407255,7.359853982,7.270456968,7.434570139,7.772755,7.71151,7.946759,968.0,968.0,968.0,182.328125,182.28515625,182.3359375,167.71875,167.70703125,167.72265625,18.589675903320312,18.58966827392578,18.60527801513672,14.070228576660156,14.070228576660156,14.070228576660156,14.037361145019531,14.037361145019531,14.043220520019531,0.407552,0.405504,0.420864,0.421888,0.418816,0.447488,8.0,8.0,8.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0
text-editor,full,3,6.611937,6.32742,6.986463,10.301002,9.061525,10.81464,13.719357769,13.045654161,14.505086732,14.096716,13.46394,14.834972,808160.0,808160.0,808160.0,219.01171875,218.77734375,219.078125,205.1015625,205.09375,205.15625,23.292884826660156,23.27460479736328,23.376419067382812,14.075920104980469,14.075920104980469,14.075920104980469,14.075920104980469,14.075920104980469,14.075920104980469,0.667648,0.51712,1.026048,1.099776,0.562176,2.04288,8.0,8.0,8.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0
