kind,mode,round,log,cpu_p50_ms,cpu_p99_ms,measured_loop_wall_s,process_cpu_s,alloc_B_frame,rss_peak_MiB,private_peak_MiB,managed_heap_peak_MiB,managed_retained_peak_MiB,managed_retained_post_gc_MiB,gpu_main_p50_ms,gpu_main_p99_ms,vk_allocated_peak_MiB,cache_peak_MiB,image_resident_peak_MiB,text_resident_peak_MiB,readback_pool_resident_before_close_MiB,gpu_upload_samples,gpu_upload_p50_ms,gpu_upload_p99_ms,gpu_effects_samples,gpu_effects_p50_ms,gpu_effects_p99_ms,gpu_offscreen_samples,gpu_offscreen_p50_ms,gpu_offscreen_p99_ms
image,unchanged,1,logs/003-r1-image-unchanged.log.gz,1.468309,2.288566,3.087117,3.387465,0.0,176.5546875,153.859375,10.616691589355469,7.93060302734375,7.9099884033203125,0.017408,0.0256,22.0,0.2500038146972656,3.814697265625e-06,0.25,0.0,2000,9.6e-05,0.000224,0,0.0,0.0,0,0.0,0.0
image,unchanged,2,logs/036-r2-image-unchanged.log.gz,1.407124,2.541902,3.053127544,3.318282,0.0,176.6015625,153.96484375,10.616973876953125,7.93060302734375,7.9099884033203125,0.017408,0.022528,22.0,0.2500038146972656,3.814697265625e-06,0.25,0.0,2000,9.6e-05,0.000224,0,0.0,0.0,0,0.0,0.0
image,unchanged,3,logs/055-r3-image-unchanged.log.gz,1.380993,2.074712,2.96694477,3.18673,0.0,176.6875,153.859375,10.616958618164062,7.93060302734375,7.9099884033203125,0.017408,0.0256,22.0,0.2500038146972656,3.814697265625e-06,0.25,0.0,2000,9.6e-05,0.000224,0,0.0,0.0,0,0.0,0.0
image,sparse,1,logs/010-r1-image-sparse.log.gz,1.202587,1.921132,2.571346467,3.08783,640.0,177.1640625,153.94921875,11.839012145996094,7.929100036621094,7.9102020263671875,0.004096,0.01536,22.0,0.2500038146972656,3.814697265625e-06,0.25,0.0,2000,9.6e-05,9.6e-05,0,0.0,0.0,0,0.0,0.0
image,sparse,2,logs/022-r2-image-sparse.log.gz,1.217636,1.866319,2.580227063,3.053953,640.0,177.1015625,153.87890625,11.846847534179688,7.929100036621094,7.9102020263671875,0.004096,0.018432,22.0,0.2500038146972656,3.814697265625e-06,0.25,0.0,2000,9.6e-05,0.000128,0,0.0,0.0,0,0.0,0.0
image,sparse,3,logs/062-r3-image-sparse.log.gz,1.296033,2.589201,2.827747173,3.10712,640.0,177.0859375,153.94140625,11.8389892578125,7.929100036621094,7.9102020263671875,0.004096,0.01536,22.0,0.2500038146972656,3.814697265625e-06,0.25,0.0,2000,9.6e-05,9.6e-05,0,0.0,0.0,0,0.0,0.0
image,full,1,logs/017-r1-image-full.log.gz,3.790717,5.948236,7.953261524,8.355776,480160.0,220.890625,196.50390625,16.533355712890625,7.948753356933594,7.948753356933594,0.043008,0.05632,22.0,0.2500038146972656,3.814697265625e-06,0.25,0.0,2000,9.6e-05,0.000224,0,0.0,0.0,0,0.0,0.0
image,full,2,logs/029-r2-image-full.log.gz,3.602663,5.202549,7.551796228,7.877898,480160.0,220.9609375,196.484375,16.530677795410156,7.948753356933594,7.948753356933594,0.023552,0.033792,22.0,0.2500038146972656,3.814697265625e-06,0.25,0.0,2000,9.6e-05,0.000224,0,0.0,0.0,0,0.0,0.0
image,full,3,logs/048-r3-image-full.log.gz,3.676091,6.226911,7.859333392,8.171637,480160.0,220.86328125,196.27734375,16.53583526611328,7.948753356933594,7.948753356933594,0.054272,0.08192,22.0,0.2500038146972656,3.814697265625e-06,0.25,0.0,2000,9.6e-05,0.000192,0,0.0,0.0,0,0.0,0.0
shape,unchanged,1,logs/004-r1-shape-unchanged.log.gz,0.938359,1.777982,2.06572954,2.413965,0.0,160.91796875,153.97265625,9.408912658691406,6.716575622558594,6.7159423828125,0.144384,0.147456,6.0,0.25034332275390625,0.0,0.25,0.0,2000,9.6e-05,0.000192,0,0.0,0.0,0,0.0,0.0
